"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-3.17673703317319,10.0724465269511,-14.4787557712472,1.04069341150027e-30,1.1023969357566e-28,59.1911171041241,"241681_at"
-2.68383905860052,8.85730120353798,-14.4474484643126,1.26469390919705e-30,1.33024424139205e-28,58.9974380643425,"240452_at"
-2.28912822129621,9.3315298566077,-14.4397935335928,1.32644872031584e-30,1.38544322284177e-28,58.9500720339999,"228173_at"
-2.9476662649933,8.98861985119667,-14.4000109442914,1.69949870516564e-30,1.76275782363569e-28,58.7038506274656,"230389_at"
-4.4684293265026,9.18855864079084,-14.3839625033945,1.87824315785528e-30,1.93471998660182e-28,58.6044954438985,"208982_at"
-2.69827774837402,9.51276107617065,-14.3484013442673,2.34430572721082e-30,2.38490546588868e-28,58.3842800534551,"229858_at"
-1.63424278376965,9.24717676274714,-14.348201912566,2.34722217116789e-30,2.38490546588868e-28,58.3830448331009,"206551_x_at"
-2.09300992437167,9.3867754012487,-14.3073722600136,3.02775633433419e-30,3.05557896010916e-28,58.1301062749502,"233296_x_at"
-3.66782960819688,9.51502227492196,-14.27558938631,3.69164529330576e-30,3.70056470475267e-28,57.933141478248,"215599_at"
-2.79128574262183,9.39384264328824,-14.2052332640325,5.72674345679587e-30,5.70230935138021e-28,57.4969145602442,"1557987_at"
-2.60513829496356,9.57961708491155,-14.1941902675481,6.13549308832209e-30,6.06885594484628e-28,57.4284184229319,"229871_at"
-2.53551233705919,9.49563121352758,-14.186358218261,6.44298344345284e-30,6.31371063197262e-28,57.379834438516,"241905_at"
-1.51914903699709,8.1144944880333,-14.185747985979,6.46757985198052e-30,6.31371063197262e-28,57.3760488788526,"240205_x_at"
-3.39748224973036,8.44291928616025,-14.1670176211243,7.27006124383452e-30,7.05101524272158e-28,57.259845061898,"208981_at"
-2.53321349848024,8.41915254193548,-14.1463078225113,8.27394919486684e-30,7.97288420480846e-28,57.1313372424654,"242688_at"
-2.39200621524986,10.8995638197711,-14.0945013505013,1.14362448023076e-29,1.09010354147392e-27,56.8097625784734,"209007_s_at"
-2.23682934854724,8.99500958480749,-14.0941882894509,1.14586406006565e-29,1.09010354147392e-27,56.8078188785285,"1559436_x_at"
-6.05978753590222,11.8710403898023,-14.0627114855334,1.39499953213041e-29,1.31871601341138e-27,56.6123613456207,"211813_x_at"
-5.2276079271824,11.2210688332986,-14.057783916608,1.43863850974294e-29,1.35141539506418e-27,56.5817583034185,"209596_at"
-2.87693337104945,9.20013800665973,-14.0324450148799,1.68559119624829e-29,1.57349938169778e-27,56.4243682186892,"228623_at"
-2.1956599595712,8.46493859916753,-14.0249070778348,1.76694216382348e-29,1.63919553781786e-27,56.3775403547176,"1557300_s_at"
-6.20311449968951,12.0549042176899,-14.0031930177602,2.02393573704293e-29,1.86601877583168e-27,56.2426292322803,"211896_s_at"
